idx,abs_rel,d1,rmse
0363,1.675046,0.000000,5.711852
0364,2.754891,0.000000,6.191945
0384,2.377288,0.000000,6.339970
0385,3.249643,0.000000,6.645435
0386,2.913880,0.000000,6.329477
0387,2.239384,0.001979,5.349756
0388,2.534640,0.000000,6.187324
0389,3.862404,0.000000,6.845090
0390,3.585723,0.000000,6.429528
0395,3.035140,0.000000,6.698683
0396,3.291859,0.000000,6.708045
0397,2.530887,0.000000,6.429937
0411,2.078124,0.000000,5.710556
0412,2.649616,0.000000,6.210445
0413,2.998496,0.000000,6.657735
0414,2.211752,0.015036,5.618802
0430,1.364000,0.125151,4.834926
0431,1.566650,0.000000,5.253752
0432,2.606503,0.000000,5.982859
0433,1.627352,0.000000,5.500730
0434,2.079919,0.000000,6.121349
0435,2.865193,0.000000,5.879701
0441,2.653285,0.000000,6.353609
0442,1.831841,0.000000,6.057818
0443,2.087591,0.000415,5.822936
0444,2.269932,0.000000,6.281332
0445,2.631398,0.000000,6.550628
0446,2.786114,0.000000,6.174679
0447,2.624769,0.000000,6.285434
0448,3.825862,0.000000,6.154614
0462,2.620598,0.000000,6.430241
0463,2.804174,0.000000,6.585127
0464,2.295620,0.000000,6.280716
0465,1.976438,0.006665,5.504684
0466,2.056615,0.000000,5.716936
0469,2.284308,0.055973,5.524548
0470,2.326662,0.000000,6.454613
0471,3.576209,0.000000,6.611120
0472,2.642289,0.000000,6.432365
0473,2.087996,0.000000,6.360402
0474,2.558074,0.000000,6.312583
0475,2.611002,0.000000,6.311392
0476,2.831097,0.000000,6.439536
0477,2.643910,0.000000,6.585818
0508,3.124592,0.000000,6.367672
0509,4.469844,0.000000,6.701564
0510,4.535657,0.000000,6.614324
0511,3.319520,0.000000,5.960885
0512,3.758970,0.000000,6.777856
0513,3.894727,0.000000,7.082106
0515,3.144495,0.000000,6.605683
0516,2.547249,0.000000,6.128132
0517,3.154510,0.000000,6.307422
0518,4.158505,0.000000,7.109130
0519,3.814407,0.000000,6.971959
0520,2.492542,0.000000,6.528295
0521,3.349724,0.000000,6.850125
0522,2.971141,0.000000,6.444632
0523,1.882139,0.000000,6.026051
0524,2.537507,0.000000,6.344759
0525,2.830070,0.000000,6.800993
0526,2.162725,0.000000,6.150489
0531,2.884147,0.000000,6.294817
0532,2.715766,0.000000,6.726909
0533,2.426887,0.000000,6.157279
0537,2.485946,0.000000,5.746828
0538,2.716253,0.000000,6.319983
0539,3.372015,0.000000,6.414203
0549,2.521229,0.002431,6.180861
0550,2.206912,0.000000,6.040866
0551,2.622242,0.000000,6.017149
0555,2.556026,0.000000,6.240008
0556,2.996299,0.000000,6.384100
0557,3.657359,0.000000,6.361421
