rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000135.png,0.054767,0.974493,2.343452
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000040.png,0.067097,0.924762,4.801881
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000005.png,0.047642,0.979806,2.663505
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000120.png,0.058649,0.959909,3.037246
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000045.png,0.076233,0.922623,4.754367
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000035.png,0.076379,0.874464,5.530739
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000069.png,0.042821,0.984700,2.182257
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000057.png,0.049807,0.984708,2.108322
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000012.png,0.062254,0.957190,2.420389
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000072.png,0.043196,0.978046,2.101314
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000018.png,0.059655,0.953013,2.685414
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000063.png,0.056130,0.981492,2.039523
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000015.png,0.059345,0.957402,2.727891
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000066.png,0.049668,0.981583,2.063555
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000006.png,0.050917,0.974843,2.012965
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000048.png,0.041186,0.987650,1.945567
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000060.png,0.064751,0.981885,2.132577
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000009.png,0.053506,0.969665,2.127930
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000033.png,0.048582,0.981884,2.444552
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000021.png,0.054160,0.960472,2.682741
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000075.png,0.056636,0.965640,2.137181
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000027.png,0.056603,0.975244,2.486812
