rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000135.png,0.105085,0.901479,2.656735
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000040.png,0.071375,0.956612,3.894821
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000005.png,0.087128,0.984403,3.168790
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000120.png,0.111376,0.887092,2.463030
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000045.png,0.085105,0.943175,4.185434
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000035.png,0.085161,0.934042,4.149745
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000069.png,0.076878,0.987988,2.029529
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000057.png,0.074417,0.980230,2.120547
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000012.png,0.090507,0.980812,2.200639
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000072.png,0.076897,0.982483,2.377245
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000018.png,0.080405,0.975455,2.689169
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000063.png,0.076966,0.983039,2.184158
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000015.png,0.084670,0.981622,2.450366
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000066.png,0.072919,0.988636,1.934129
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000006.png,0.102432,0.958796,2.101414
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000048.png,0.078049,0.984051,2.470612
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000060.png,0.072100,0.983197,2.152228
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000009.png,0.097434,0.975352,2.024599
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000033.png,0.087108,0.986889,2.319409
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000021.png,0.079746,0.971215,2.862845
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000075.png,0.087074,0.985431,2.226030
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000027.png,0.093463,0.980933,2.690463
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000045.png,0.075289,0.984225,2.211453
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000078.png,0.092198,0.981118,2.431541
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000036.png,0.078210,0.987558,2.217489
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000051.png,0.075468,0.979760,2.429219
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000054.png,0.073985,0.980145,2.252165
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000042.png,0.072818,0.990461,1.996258
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000018.png,0.127096,0.993126,1.895501
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000090.png,0.167826,0.820349,3.767551
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000126.png,0.109807,0.972659,3.008139
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000378.png,0.099186,0.971951,3.164867
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000036.png,0.119884,0.917241,2.952942
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000288.png,0.118045,0.937319,3.926163
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000198.png,0.105308,0.959048,2.986517
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000450.png,0.096003,0.972778,3.244719
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000144.png,0.105332,0.965175,2.963299
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000072.png,0.118474,0.972815,2.835394
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000252.png,0.119370,0.926301,3.271346
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000180.png,0.102226,0.976522,2.722505
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000432.png,0.081435,0.938136,3.811343
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000396.png,0.107662,0.955872,3.061255
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000054.png,0.118200,0.965502,2.315626
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000468.png,0.093776,0.976377,2.788248
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000306.png,0.126622,0.939506,3.359275
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000108.png,0.142581,0.862467,2.632627
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000162.png,0.091956,0.958429,3.346519
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000342.png,0.125818,0.971819,2.998562
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000270.png,0.096556,0.960782,2.932404
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000414.png,0.101044,0.976803,2.887942
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000216.png,0.098644,0.959030,3.441890
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000360.png,0.098534,0.973540,2.319575
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000324.png,0.120011,0.975622,2.708384
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000077.png,0.193995,0.616590,7.568070
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000035.png,0.175332,0.614009,4.929820
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000091.png,0.161690,0.687253,6.148363
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000112.png,0.113784,0.858898,4.749759
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000007.png,0.167093,0.585078,5.999409
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000175.png,0.162020,0.682697,6.830461
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000042.png,0.152100,0.725374,5.042237
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000098.png,0.174389,0.624551,5.657220
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000133.png,0.201239,0.519943,8.167486
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000161.png,0.149381,0.677255,5.956565
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000014.png,0.188756,0.591861,5.715674
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000126.png,0.160687,0.733781,5.903058
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000168.png,0.157233,0.653462,6.313958
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000070.png,0.160834,0.724083,5.943648
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000084.png,0.200315,0.609253,7.963696
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000140.png,0.166545,0.651302,6.508674
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000049.png,0.126665,0.814311,3.879073
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000182.png,0.167508,0.623465,6.969164
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000147.png,0.133286,0.751429,5.484857
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000056.png,0.122858,0.784003,4.190062
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000063.png,0.152842,0.768237,4.619830
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000021.png,0.176123,0.641546,5.538166
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000119.png,0.142656,0.717776,6.069633
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000028.png,0.185803,0.598661,5.567854
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000380.png,0.135730,0.689830,3.621623
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000394.png,0.151860,0.688954,4.067060
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000324.png,0.077459,0.993606,2.071088
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000268.png,0.129700,0.864932,3.104851
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000366.png,0.100753,0.950057,3.238031
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000296.png,0.132148,0.789493,2.758010
