idx,abs_rel,d1,rmse
0387,0.061230,0.974535,0.374408
0388,0.090095,0.950880,0.456588
0389,0.124236,0.875159,0.407590
0390,0.178433,0.816348,0.407472
0395,0.125263,0.837731,0.374208
0396,0.106470,0.937634,0.317232
0397,0.104295,0.944798,0.327538
0411,0.052602,0.956967,0.342108
0412,0.059815,0.967589,0.207015
0413,0.038343,0.998914,0.112097
0414,0.070895,0.937387,0.586395
0430,0.081159,0.869312,0.841836
0431,0.120199,0.762341,1.067711
0432,0.118659,0.865761,0.636481
0433,0.067716,0.917744,0.348962
0434,0.049705,0.980080,0.241439
0435,0.123263,0.877364,0.331497
0441,0.118731,0.828471,0.486248
0442,0.065488,0.923663,0.392022
0443,0.076890,0.934365,0.449590
0444,0.066649,0.989650,0.249427
0445,0.137321,0.923093,0.547536
0446,0.076704,0.997623,0.263077
0447,0.053954,0.997741,0.168486
0448,0.047227,0.997154,0.126814
0462,0.058775,0.970540,0.224022
0463,0.061387,0.948537,0.184482
0464,0.069110,0.889977,0.319927
0465,0.061415,0.957860,0.372919
0466,0.060187,0.973462,0.300301
0469,0.167272,0.795364,0.949887
0470,0.072472,0.956250,0.264381
0471,0.080837,0.969433,0.231756
0472,0.073314,0.986154,0.211509
0473,0.094255,0.983145,0.354685
0474,0.109524,0.933384,0.298970
0475,0.090082,0.893498,0.268552
0476,0.117370,0.845062,0.329406
0477,0.090506,0.871378,0.269220
0508,0.172164,0.643968,0.457699
0509,0.134265,0.868654,0.276372
0510,0.165208,0.599925,0.410008
0511,0.107092,0.802804,0.335381
0512,0.127123,0.857667,0.300077
0513,0.088781,0.998315,0.187267
0515,0.187950,0.811037,0.554790
0516,0.089065,0.923340,0.260162
0517,0.161891,0.810442,0.328082
0518,0.118448,0.905412,0.368582
0519,0.245382,0.590774,0.498423
0520,0.066187,0.973407,0.256351
0521,0.113724,0.975252,0.298396
0522,0.038583,0.999795,0.108081
0523,0.045754,0.981342,0.227946
0524,0.084925,0.992203,0.230328
0525,0.071096,0.969488,0.190174
0526,0.050045,1.000000,0.173859
0531,0.040306,0.989026,0.127242
0532,0.040091,1.000000,0.137143
0533,0.094771,0.955407,0.262665
0537,0.084770,0.983501,0.237357
0538,0.074730,0.983434,0.258901
0539,0.112576,0.933656,0.283637
0549,0.084781,0.979246,0.621410
0550,0.057462,0.978307,0.222983
0551,0.059009,0.976362,0.209978
0555,0.055642,0.981024,0.181135
0556,0.060266,0.991914,0.156605
0557,0.043824,0.986175,0.103871
0558,0.042609,0.991327,0.123042
0559,0.104409,0.923680,0.237135
0560,0.039993,0.999723,0.087905
0561,0.179348,0.789567,0.322114
0562,0.089896,0.930336,0.232556
0563,0.136647,0.852431,0.244110
0564,0.097320,0.962433,0.353208
0565,0.127842,0.779636,0.449620
0566,0.052020,0.987441,0.162548
0567,0.120866,0.853848,0.305799
0568,0.065638,0.960144,0.217371
0569,0.151990,0.789361,0.438913
0570,0.241097,0.229079,0.578657
0571,0.055464,0.987802,0.130891
0579,0.109546,0.944354,0.447231
0580,0.052617,0.999593,0.196541
0581,0.060394,0.985345,0.221062
0582,0.061114,0.992228,0.258565
0583,0.151194,0.754410,0.589618
0591,0.124480,0.915447,0.376494
0592,0.054671,0.976958,0.187821
0593,0.059670,0.963473,0.181125
0594,0.067670,0.987462,0.248327
0603,0.193788,0.538908,0.670856
0604,0.125761,0.875490,0.501193
0605,0.070143,0.906003,0.354707
0606,0.059236,0.979339,0.237307
0607,0.158903,0.675356,0.486246
0612,0.062142,0.971227,0.211809
0613,0.048731,0.994249,0.169894
0617,0.076815,0.965091,0.213572
0618,0.052192,0.964839,0.260429
0619,0.058883,0.984666,0.154206
0620,0.046747,0.991189,0.130376
0621,0.059767,0.982931,0.133170
0633,0.087374,0.946651,0.686672
0634,0.050134,0.996009,0.231407
0635,0.048634,0.972506,0.381686
0636,0.052389,0.978353,0.226851
0637,0.067202,0.960106,0.192663
0638,0.116293,0.928764,0.315814
0644,0.063026,0.971726,0.150299
0645,0.069916,0.977779,0.169593
0650,0.362102,0.466952,1.492729
0651,0.044864,0.999895,0.104698
0656,0.113603,0.874497,0.274657
0657,0.065682,0.975126,0.204371
0658,0.156535,0.790543,0.252816
0663,0.081912,0.932231,0.259947
0664,0.067797,0.928228,0.174044
0668,0.093104,0.878991,0.741828
0669,0.132059,0.883694,0.358808
0670,0.118543,0.850226,0.663441
0671,0.139175,0.833434,0.726650
0672,0.140980,0.899820,0.554733
0673,0.102434,0.916621,0.341237
0676,0.122210,0.918913,0.274964
0677,0.086068,0.905332,0.146683
0678,0.068952,0.965015,0.144839
0679,0.084764,0.928131,0.311895
0680,0.066166,0.991122,0.172112
0681,0.078134,0.948420,0.222883
0686,0.093656,0.977876,0.315683
0687,0.160949,0.780961,0.734410
0688,0.072344,0.957000,0.180412
0689,0.047735,0.987957,0.100383
0690,0.128949,0.857210,0.239918
0693,0.099324,0.880458,0.366173
0694,0.048051,0.999845,0.086021
0697,0.126765,0.870112,0.529425
0698,0.197675,0.480701,0.542930
0699,0.063860,0.962060,0.209988
0706,0.175691,0.736536,0.299690
0707,0.216899,0.698684,0.378405
0708,0.146776,0.886523,0.263439
0709,0.091304,0.969773,0.265911
0710,0.246691,0.591147,0.604551
0711,0.115557,0.956564,0.271408
0712,0.068193,0.869953,0.351799
0713,0.120314,0.806304,0.404250
0717,0.161897,0.807093,0.375209
0718,0.261981,0.565216,0.445216
0724,0.197936,0.420280,0.497881
0725,0.077401,0.955034,0.296465
0726,0.080931,0.929984,0.193432
0727,0.110096,0.899371,0.551171
0728,0.098352,0.953823,0.217556
0731,0.200967,0.636527,0.524656
0732,0.068974,0.998902,0.134432
0733,0.071691,0.946735,0.174952
0734,0.319856,0.232516,0.470220
0743,0.125151,0.771160,0.510799
0744,0.069678,0.965028,0.172573
0759,0.042816,0.998667,0.113591
0760,0.062682,0.968084,0.319083
0761,0.109803,0.885157,0.314499
0762,0.072652,0.973223,0.311824
0763,0.105418,0.953115,0.241911
0764,0.164863,0.774090,0.502060
0765,0.084239,0.972468,0.148365
0766,0.074141,0.945397,0.371346
0767,0.091077,0.950180,0.286913
0768,0.064850,0.965141,0.318416
0769,0.080152,0.936280,0.227994
0770,0.077920,0.990795,0.177078
0771,0.078661,0.973122,0.244792
0772,0.201655,0.759096,0.673946
0773,0.100131,0.943599,0.349479
0774,0.034412,0.993859,0.195738
0775,0.071794,0.991495,0.183626
0776,0.068055,0.974866,0.181453
0777,0.031396,0.997707,0.135905
0778,0.033261,0.996764,0.196806
0779,0.052896,0.998399,0.185874
0780,0.045771,0.995720,0.225220
0781,0.042061,0.978869,0.246045
0782,0.055417,0.977964,0.241647
0783,0.096118,0.948713,0.541571
0784,0.112224,0.884708,1.321370
0785,0.147305,0.833094,0.974874
0786,0.075492,0.949966,0.423045
0787,0.124957,0.835794,0.838004
0800,0.346222,0.332675,0.543700
0801,0.132199,0.797028,1.102344
0802,0.053561,0.965363,0.517861
0803,0.097256,0.929938,0.438000
0804,0.147434,0.842777,0.461631
0810,0.222034,0.676635,0.677624
0811,0.117004,0.894442,0.609797
0812,0.138224,0.869852,0.740265
0813,0.113718,0.861976,0.583116
0814,0.086197,0.984591,0.289646
0821,0.100887,0.872003,0.496520
0822,0.126140,0.860341,0.515793
0823,0.125821,0.900918,0.293663
0833,0.214417,0.708249,0.906666
0834,0.123061,0.931916,0.522322
0835,0.200349,0.763510,0.658482
0836,0.177415,0.731082,0.808145
0837,0.078695,0.960098,0.359038
0838,0.058535,0.991403,0.132754
0839,0.134000,0.776811,1.046938
0840,0.168368,0.806766,0.703157
0841,0.400016,0.160232,0.925734
0842,0.080234,0.936834,0.374003
0843,0.119895,0.892492,0.338917
0844,0.039094,0.999820,0.124241
0845,0.039484,0.990065,0.116994
0846,0.044994,0.991080,0.082492
0850,0.123716,0.836725,0.592612
0851,0.146387,0.803098,0.587556
0852,0.087783,0.968339,0.310864
0857,0.103614,0.886699,0.276567
