rgb,abs_rel,d1,rmse
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000135.png,0.051168,0.976084,2.220636
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000040.png,0.068366,0.914595,5.013218
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000005.png,0.049921,0.978646,2.806977
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000120.png,0.059393,0.967554,3.206727
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000045.png,0.080007,0.905582,4.944268
2011_09_26/2011_09_26_drive_0013_sync/image_02/data/0000000035.png,0.081100,0.868995,5.775284
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000069.png,0.042873,0.985760,2.102018
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000057.png,0.050780,0.983580,1.960764
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000012.png,0.062706,0.956992,2.428418
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000072.png,0.041886,0.983092,1.969714
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000018.png,0.061700,0.948751,2.731550
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000063.png,0.058671,0.968771,2.095638
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000015.png,0.059869,0.956523,2.961964
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000066.png,0.048918,0.972710,1.907000
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000006.png,0.047734,0.979953,2.015262
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000048.png,0.047213,0.986321,1.926781
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000060.png,0.063806,0.982621,2.002466
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000009.png,0.050932,0.971183,2.118640
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000033.png,0.042482,0.980888,2.276470
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000021.png,0.055926,0.959107,2.856266
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000075.png,0.052846,0.973957,1.919143
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000027.png,0.054807,0.974634,2.475182
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000045.png,0.040484,0.980242,1.701702
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000078.png,0.054683,0.987810,1.953586
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000036.png,0.037038,0.984321,2.151860
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000051.png,0.046966,0.982206,2.077049
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000054.png,0.061028,0.976824,2.294266
2011_09_26/2011_09_26_drive_0020_sync/image_02/data/0000000042.png,0.038399,0.991846,1.603083
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000018.png,0.125181,0.987819,1.800390
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000090.png,0.079067,0.926009,4.146691
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000126.png,0.064343,0.952076,3.126406
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000378.png,0.066944,0.951124,3.358695
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000036.png,0.068109,0.956292,3.763878
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000288.png,0.083430,0.930392,3.086171
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000198.png,0.071417,0.935368,3.348265
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000450.png,0.065566,0.958151,3.181036
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000144.png,0.052548,0.956072,3.230199
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000072.png,0.090111,0.974554,2.946432
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000252.png,0.112040,0.880608,4.229424
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000180.png,0.052841,0.960653,2.860309
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000432.png,0.078717,0.887431,4.637436
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000396.png,0.049068,0.964785,2.751166
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000054.png,0.068295,0.988173,2.182710
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000468.png,0.052205,0.968355,3.136642
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000306.png,0.086721,0.912931,4.443132
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000108.png,0.068763,0.919000,3.343530
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000162.png,0.059517,0.927732,3.397945
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000342.png,0.058568,0.975628,2.602768
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000270.png,0.049933,0.957672,2.729184
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000414.png,0.061664,0.949904,3.138223
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000216.png,0.093186,0.914161,3.709462
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000360.png,0.055231,0.958647,2.193714
2011_09_26/2011_09_26_drive_0023_sync/image_02/data/0000000324.png,0.100237,0.900528,2.824804
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000077.png,0.092609,0.917727,4.242142
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000035.png,0.098691,0.872413,3.668127
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000091.png,0.071577,0.931541,3.889881
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000112.png,0.061845,0.943603,3.305243
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000007.png,0.091859,0.894342,3.726979
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000175.png,0.077668,0.935043,3.886747
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000042.png,0.068887,0.949472,3.553254
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000098.png,0.072250,0.951351,3.331425
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000133.png,0.104224,0.878798,4.096121
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000161.png,0.064870,0.947348,3.590261
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000014.png,0.088167,0.914347,3.833953
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000126.png,0.065099,0.914044,3.928866
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000168.png,0.086405,0.875991,4.713498
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000070.png,0.055400,0.954861,3.253549
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000084.png,0.090975,0.910902,4.342333
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000140.png,0.090583,0.951555,3.061348
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000049.png,0.074972,0.927130,3.460245
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000182.png,0.065499,0.944197,3.756216
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000147.png,0.070160,0.914804,3.185921
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000056.png,0.075859,0.921560,3.692689
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000063.png,0.055367,0.971521,2.984467
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000021.png,0.078834,0.935813,3.620552
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000119.png,0.066802,0.921134,4.201485
2011_09_26/2011_09_26_drive_0027_sync/image_02/data/0000000028.png,0.070437,0.933510,3.137253
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000380.png,0.099688,0.823100,4.099436
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000394.png,0.102889,0.831802,4.080465
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000324.png,0.263161,0.595120,8.864861
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000268.png,0.078800,0.927394,4.400259
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000366.png,0.070542,0.916170,3.854005
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000296.png,0.066691,0.963591,3.493643
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000014.png,0.092409,0.878323,3.861360
2011_09_26/2011_09_26_drive_0029_sync/image_02/data/0000000028.png,0.087178,0.954861,3.630296
